"filename", "language", "JSON", "PHP", "XML", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\Code\PAD\SI-Lab-TRPL\app\Models\User.php", "PHP", 0, 43, 0, 0, 0, 0, 16, 10, 69
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\AnnouncementPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\AssistantLecturerPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\AttendancePolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\FieldPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\InventoryPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\LabAdministratorPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\LabReservePolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\LaboratoriumPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\LectureSchedulePolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\ProjectFieldPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\ProjectHistoryPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\ProjectPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\ReservePolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\SoftwarePolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\SubjectPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Policies\SubjectsPolicy.php", "PHP", 0, 29, 0, 0, 0, 0, 28, 10, 67
"d:\Code\PAD\SI-Lab-TRPL\app\Providers\AppServiceProvider.php", "PHP", 0, 14, 0, 0, 0, 0, 7, 5, 26
"d:\Code\PAD\SI-Lab-TRPL\app\Providers\AuthServiceProvider.php", "PHP", 0, 11, 0, 0, 0, 0, 11, 5, 27
"d:\Code\PAD\SI-Lab-TRPL\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 5, 20
"d:\Code\PAD\SI-Lab-TRPL\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 12, 6, 39
"d:\Code\PAD\SI-Lab-TRPL\app\Providers\RouteServiceProvider.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 7, 41
"d:\Code\PAD\SI-Lab-TRPL\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 30, 9, 56
"d:\Code\PAD\SI-Lab-TRPL\composer.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 1, 68
"d:\Code\PAD\SI-Lab-TRPL\composer.lock", "JSON", 8236, 0, 0, 0, 0, 0, 0, 1, 8237
"d:\Code\PAD\SI-Lab-TRPL\config\app.php", "PHP", 0, 27, 0, 0, 0, 0, 131, 31, 189
"d:\Code\PAD\SI-Lab-TRPL\config\auth.php", "PHP", 0, 36, 0, 0, 0, 0, 74, 14, 124
"d:\Code\PAD\SI-Lab-TRPL\config\broadcasting.php", "PHP", 0, 36, 0, 0, 0, 0, 23, 13, 72
"d:\Code\PAD\SI-Lab-TRPL\config\cache.php", "PHP", 0, 59, 0, 0, 0, 0, 34, 19, 112
"d:\Code\PAD\SI-Lab-TRPL\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 29, 3, 35
"d:\Code\PAD\SI-Lab-TRPL\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 47, 22, 152
